# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_smallpsi/phi.table.CollaredFlycatcher_SFS.txt
# sampleSize: 23
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 269430
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-243695.49346489459276	694730.5061305759009	2301102.1734986533411
1	0	0	0.01	-242618.28383711725473	729421.57032270985655	2339335.1531695476733
1	0	0	0.02	-356892.91321917623281	767763.95361467252951	2401877.4852714650333
1	0	0	0.03	-552784.67548697441816	809238.81506166118197	2518452.744912258815
1	0	0	0.04	-782870.05346074700356	853389.56007743254304	2679357.9187696762383
1	0	0	0.05	-1031725.9740064740181	899822.38959157257341	2840263.0926270908676
1	0	0	0.06	-1292231.9125835523009	948202.10634959372692	3001168.2664845078252
1	0	0	0.07	-1560472.0142936557531	998245.68432611227036	3162073.4403419238515
1	0	0	0.08	-1834054.6477815061808	1049715.1843142942525	3322978.6141993384808
1	0	0	0.09	-2111415.1114506348968	1102410.9035194909666	3483883.7880567540415
1	0	0	0.1	-2391479.9994832053781	1156165.188168071676	3644788.9619141714647
1	0	0	0.11	-2673487.8346307948232	1210837.0635965636466	3805694.1357715870254
1	0	0	0.12	-2956885.4496514052153	1266307.68652052572	3966599.309629002586
1	0	0	0.13	-3241264.4137585833669	1322476.5515566491522	4127504.4834864186123
1	0	0	0.14	-3526320.1161208823323	1379258.355786816217	4288409.6573438346386
1	0	0	0.15	-3811824.3880644440651	1436580.4205517764203	4456820.4590119076893
1	0	0	0.16	-4097606.586734212935	1494380.5765373394825	4626471.7393299872056
1	0	0	0.17	-4383540.1692856401205	1552605.4297424722463	4796123.0196480648592
1	0	0	0.18	-4669532.9450606331229	1611208.9385036076419	4965774.2999661415815
1	0	0	0.19	-4955519.8598368838429	1670151.2436532282736	5135425.5802842192352
1	0	0	0.2	-5241457.5650991797447	1729397.7043911300134	5305076.8606022996828
1	0	0.5	0	-217493.98446906358004	666029.71635167498607	1312792.5853578948881
1	0	0.5	0.01	-123183.14405938982964	606750.41242452978622	1196580.4650609036908
1	0	0.5	0.02	-174851.48013214021921	552857.7528971764259	1083175.3915815737564
1	0	0.5	0.03	-324633.68922180682421	506075.56643946521217	975964.85229975078255
1	0	0.5	0.04	-518953.39733839780092	468538.5949981812737	927513.37759269855451
1	0	0.5	0.05	-739157.21630948036909	442605.35819852643181	950451.19516120501794
1	0	0.5	0.06	-976219.14528808742762	430378.60455249773804	1049604.7019647245761
