# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_smallpsi/phi.table.HouseSparrow_SFS.txt
# sampleSize: 15
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 90623
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-62712.643373899161816	642819.16054663585965	1327964.3482212438248
1	0	0	0.01	-202046.76227796077728	606364.58245568361599	1265687.1084195126314
1	0	0	0.02	-499842.16829903423786	580203.2638476791326	1272060.9159423476085
1	0	0	0.03	-825287.72892114520073	565764.91119051608257	1386634.4205944130663
1	0	0	0.04	-1162050.1649883240461	563950.64404732757248	1501207.9252464775927
1	0	0	0.05	-1504646.0640302151442	574879.99612131947652	1615781.4298985442147
1	0	0	0.06	-1850457.5461453422904	597854.47877520334441	1732132.456051716581
1	0	0	0.07	-2198002.8105775862932	631560.94913694774732	1850246.191511213081
1	0	0	0.08	-2546358.3105102032423	674392.15148904500529	1968359.9269707077183
1	0	0	0.09	-2894914.2056163102388	724732.09004248853307	2086473.6624302028213
1	0	0	0.1	-3243253.7086046934128	781130.41005759988911	2204587.3978896993212
1	0	0	0.11	-3591086.7751366719604	842371.12932971748523	2337556.7330677462742
1	0	0	0.12	-3938210.6406566426158	907474.41196529834997	2559753.2542656837031
1	0	0	0.13	-4284484.8666295185685	975667.35317287966609	2781949.7754636183381
1	0	0	0.14	-4629814.797555141151	1046346.0453191624256	3004146.2966615529731
1	0	0	0.15	-4974140.1741350218654	1119039.5863841457758	3226342.8178594899364
1	0	0	0.16	-5317427.0545621961355	1193379.8356209218036	3448539.3390574255027
1	0	0	0.17	-5659661.939537845552	1269077.4425032164436	3670735.860255361069
1	0	0	0.18	-6000847.4121928811073	1345903.401030869456	3892932.381453294307
1	0	0	0.19	-6340998.8474729508162	1423675.0547700442839	4115128.9026512298733
1	0	0	0.2	-6680141.8939014449716	1502245.5342168884818	4337325.4238491663709
1	0	0.5	0	-732151.68323358148336	2125950.9154876992106	4297089.2722149193287
1	0	0.5	0.01	-770707.02379781007767	2049918.0318084235769	4103085.5179076027125
1	0	0.5	0.02	-992350.22405914962292	1976942.9544461134356	3909081.7636002833024
1	0	0.5	0.03	-1257466.7508678287268	1907376.6851530433632	3715078.0092929666862
1	0	0.5	0.04	-1544948.9825244545937	1841605.5655126508791	3583727.7512301448733
1	0	0.5	0.05	-1846438.0742021128535	1780050.3264569242019	3583727.7512301439419
1	0	0.5	0.06	-2157451.6729585379362	1723162.8293466961477	3583727.7512301439419
1	0	0.5	0.07	-2475230.7928376272321	1671419.748027196154	3600163.438527979888
1	0	0.5	0.08	-2797939.1016297489405	1625312.486163493013	3657666.8104799836874
1	0	0.5	0.09	-3124292.059916369617	1585332.8506004943047	3715170.1824319865555
1	0	0.5	0.1	-3453360.3531138971448	1551954.4718314695638	3772673.5543839894235
1	0	0.5	0.11	-3784455.7299379557371	1525610.6921534012072	3844197.5474790781736
1	0	0.5	0.12	-4117060.1626086905599	1506670.5516861802898	3934170.659698608797
1	0	0.5	0.13	-4450779.623888425529	1495415.3886309894733	4024143.7719181422144
1	0	0.5	0.14	-4785312.7115447670221	1492019.1298106340691	4114116.8841376723722
1	0	0.5	0.15	-5120428.6613145694137	1496535.2815145605709	4204089.9963572034612
1	0	0.5	0.16	-5455951.5293389186263	1508892.7993218479678	4307755.4549109907821
1	0	0.5	0.17	-5791748.56048437953	1528901.5588988244999	4417990.6254804618657
1	0	0.5	0.18	-6127721.4745759367943	1556266.4745125321206	4528225.7960499338806
1	0	0.5	0.19	-6463799.8344079479575	1590607.9241945664398	4638460.9666194040328
1	0	0.5	0.2	-6799935.9292373806238	1631485.4161958992481	4748696.1371888751164
1	0	1	0	-1370841.263847373426	2880188.7138830106705	5921163.2211634293199
1	0	1	0.01	-1342381.962674498558	2796442.4524607644416	5708985.0487955557182
1	0	1	0.02	-1519568.9534934088588	2715341.3762365169823	5496806.8764276821166
1	0	1	0.03	-1752065.885146997869	2637129.5429521105252	5284628.704059808515
1	0	1	0.04	-2014180.3969095796347	2562071.5642524790019	5099615.5775263281539
1	0	1	0.05	-2295196.5492851510644	2490452.6118003171869	5039183.7192886555567
1	0	1	0.06	-2589266.5954937115312	2422577.7098220079206	4978751.8610509820282
1	0	1	0.07	-2892771.7476126924157	2358770.0917769428343	4920872.9916472099721
1	0	1	0.08	-3203299.9031695052981	2299368.3847587187774	4920872.9916472099721
1	0	1	0.09	-3519162.3883942514658	2244722.3946461561136	4979027.9108487879857
1	0	1	0.1	-3839135.5308823138475	2195187.3101071733981	5039459.7690864615142
1	0	1	0.11	-4162310.1968305110931	2151116.2360776104033	5099891.6273241341114
1	0	1	0.12	-4487998.5161038786173	2112851.1147284819745	5160323.4855618076399
1	0	1	0.13	-4815673.1894447803497	2080712.2920129096601	5220755.3437994811684
1	0	1	0.14	-5144926.4410105198622	2054987.2234370191582	5292434.0966163165867
