# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_smallpsi/phi.table.Messor_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 50
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-841.01503593654706492	863.16719096923702637	2524.5554247269869848
1	0	0	0.01	-947.38385242547519738	890.08147317492807815	2586.9736395426089075
1	0	0	0.02	-1135.1945398845200543	918.20457963963224302	2683.0419992338511292
1	0	0	0.03	-1337.8330493660141656	947.42886968445088769	2801.3286985416752941
1	0	0	0.04	-1546.2606479830355966	977.65559785147991079	2921.5777126656425935
1	0	0	0.05	-1757.4618955368896422	1008.7946593670739048	3041.8267267896098929
1	0	0	0.06	-1970.0185644270459306	1040.7641679953933362	3162.0757409135781018
1	0	0	0.07	-2183.1456586041203991	1073.4899318843997662	3282.3247550375463106
1	0	0	0.08	-2396.3678977251438482	1106.9048767575386591	3402.5737691615131553
1	0	0	0.09	-2609.3825267689717293	1140.9484521136291733	3522.8227832854799999
1	0	0	0.1	-2821.9917022510817333	1175.5660451160404136	3643.0717974094486635
1	0	0	0.11	-3034.0654830774401489	1210.7084183805236535	3763.3208115334173272
1	0	0	0.12	-3245.5199519319321553	1246.3311815499066597	3883.5698256573841718
1	0	0	0.13	-3456.3035022124786337	1282.3943019711680336	4003.8188397813523807
1	0	0	0.14	-3666.3878419973043492	1318.8616565853565135	4124.0678539053205895
1	0	0	0.15	-3875.7618746917105454	1355.7006249730948184	4244.3168680292865247
1	0	0	0.16	-4084.4274130472840625	1392.8817220971159259	4364.5658821532551883
1	0	0	0.17	-4292.3961049787612865	1430.378268434762731	4484.8148962772229424
1	0	0	0.18	-4499.6871851897703891	1468.1660947341922565	4605.0639104011906966
1	0	0	0.19	-4706.3258043642199482	1506.2232784358664048	4725.3129245251584507
1	0	0	0.2	-4912.3417714169809187	1544.5299087863411387	4845.5619386491262048
1	0	0.5	0	-537.19705514148881775	480.3869665727737015	1778.1650222046371255
1	0	0.5	0.01	-608.8031685615897004	476.10541013282926315	1759.0203898091463088
1	0	0.5	0.02	-773.87447560528016766	478.05634653682636781	1801.3827376664207804
1	0	0.5	0.03	-960.59670977466521435	486.16475023612827044	1898.34697513105084
1	0	0.5	0.04	-1157.4802917177585186	500.13122606152688832	2014.4445586906058452
1	0	0.5	0.05	-1360.172347172487207	519.48350040505215475	2130.5421422501617599
1	0	0.5	0.06	-1566.4503478918268229	543.64671994411537526	2246.6397258097167651
1	0	0.5	0.07	-1775.0107886507503281	572.01152962203070729	2362.7373093692713155
1	0	0.5	0.08	-1985.0261856025317684	603.98626551992515488	2478.8348929288267755
1	0	0.5	0.09	-2195.9446179516344273	639.02927386349540484	2594.9324764883817807
1	0	0.5	0.1	-2407.3861643975542393	676.66402429413733444	2711.0300600479363311
1	0	0.5	0.11	-2619.0842872444773093	716.48222287436988154	2827.1276436074913363
1	0	0.5	0.12	-2830.8503587936138501	758.13991757306223462	2943.2252271670467962
1	0	0.5	0.13	-3042.5510618017397064	801.35028454603502723	3059.3228107266022562
1	0	0.5	0.14	-3254.0933943900417944	845.87540895096560689	3175.4203942861577161
1	0	0.5	0.15	-3465.4143874916153436	891.51832364542326559	3293.733529980842377
1	0	0.5	0.16	-3676.4738598699004797	938.11588853656996889	3439.1144456020651887
1	0	0.5	0.17	-3887.2491965440567583	985.53270075406499018	3584.4953612232880005
1	0	0.5	0.18	-4097.7315132594048919	1033.6560226632809645	3729.8762768445080837
1	0	0.5	0.19	-4307.9227935341041302	1082.3916237306059429	3875.2571924657304407
1	0	0.5	0.2	-4517.8337226172734518	1131.6604022664712375	4020.638108086952343
1	0	1	0	-581.46334564116841648	673.91310632250895196	2224.6800683042697528
1	0	1	0.01	-628.76255157087507541	646.28698621669650493	2175.4877771770215986
1	0	1	0.02	-780.34541572474336135	623.19668002237642668	2148.1412862120992031
1	0	1	0.03	-958.35772128620737931	605.16161080062499877	2155.693595709159581
1	0	1	0.04	-1149.1646246348245768	592.64347473058887772	2203.660089869816602
1	0	1	0.05	-1347.4310672120300296	585.99593928006743226	2251.626584030473623
1	0	1	0.06	-1550.4107266825085389	585.41902371101241442	2299.5930781911297345
1	0	1	0.07	-1756.4906399039791722	590.93050822480392981	2347.5595723517863007
1	0	1	0.08	-1964.6465524674022163	602.36329365005212821	2395.5260665124442312
1	0	1	0.09	-2174.1943262344248069	619.38957795647206694	2443.4925606731012522
1	0	1	0.1	-2384.6613111321603355	641.56418290245755998	2491.4590548337587279
1	0	1	0.11	-2595.7136839997656352	668.37488884872334438	2561.6100277326140713
