# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_smallpsi/phi.table.Pan_troglodytes_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 44
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-290719.82600915059447	806680.64095392765012	2115493.0294740991667
1	0	0	0.01	-482598.11284728348255	829963.48863457795233	2130982.4455521991476
1	0	0	0.02	-679234.82803523167968	854920.80462717532646	2158720.3438447434455
1	0	0	0.03	-878719.67985407263041	881410.36166109016631	2199287.8621445293538
1	0	0	0.04	-1080034.9779984764755	909298.25846305745654	2239855.3804443152621
1	0	0	0.05	-1282489.4252912960947	938459.84132813266478	2321340.1987320329063
1	0	0	0.06	-1485598.758348133415	968780.09809685766231	2415363.6717675174586
1	0	0	0.07	-1689016.9893103204668	1000153.6566411925014	2509387.1448030010797
1	0	0	0.08	-1892493.986497156322	1032484.5030595851131	2603410.6178384851664
1	0	0	0.09	-2095848.0565430112183	1065685.5141010920051	2697434.0908739706501
1	0	0	0.1	-2298947.5598626099527	1099677.8776591247879	2791457.5639094556682
1	0	0	0.11	-2501698.2054031156003	1134390.4565898387227	2885481.0369449397549
1	0	0	0.12	-2704034.0452082753181	1169759.1355200391263	2981599.1525078825653
1	0	0	0.13	-2905910.9528933875263	1205726.1778713823296	3086202.4499181397259
1	0	0	0.14	-3107301.813452616334	1242239.6107906620018	3190805.7473283978179
1	0	0	0.15	-3308192.9189718067646	1279252.6486083962955	3295409.0447386559099
1	0	0	0.16	-3508581.2310629375279	1316723.1603746924084	3400012.3421489140019
1	0	0	0.17	-3708472.2772357463837	1354613.1834970074706	3504615.6395591730252
1	0	0	0.18	-3907878.5182330869138	1392888.4831464199815	3609218.9369694306515
1	0	0	0.19	-4106818.0701880604029	1431518.1555960904807	3713822.2343796901405
1	0	0	0.2	-4305313.6975070461631	1470474.2727643307298	3818425.5317899473011
1	0	0.5	0	-173821.09838243201375	238201.64880546546192	744701.29680844990071
1	0	0.5	0.01	-298217.75932046025991	194069.42207363751368	631613.28532789717428
1	0	0.5	0.02	-447868.09322217479348	158091.77602705347817	535291.70734399324283
1	0	0.5	0.03	-612147.8906711935997	136858.4403090265987	494081.96141775755677
1	0	0.5	0.04	-785886.87468730658293	137384.89616144032334	456711.94726954185171
1	0	0.5	0.05	-966102.47395876049995	159455.76400933001423	425070.86649876006413
1	0	0.5	0.06	-1150917.5143419913948	195920.45740898934309	523620.7391825800878
1	0	0.5	0.07	-1339078.5384893901646	240313.67951062432257	641859.2739683482796
1	0	0.5	0.08	-1529712.6537210009992	289004.59764779027319	760097.80875411583111
1	0	0.5	0.09	-1722193.1416677683592	340152.61918178218184	887890.95293208793737
1	0	0.5	0.1	-1916059.898509491235	392799.06464238278568	1017752.3914108069148
1	0	0.5	0.11	-2110969.7272071614861	446414.11268537899014	1147613.829889526125
1	0	0.5	0.12	-2306663.9041129760444	500686.69724534987472	1283371.5741653153673
1	0	0.5	0.13	-2502946.249737072736	555424.1006341711618	1421242.5677141994238
1	0	0.5	0.14	-2699667.8549660667777	610501.30901181395166	1559113.561263083946
1	0	0.5	0.15	-2896716.1729071214795	665834.00259977532551	1696984.5548119680025
1	0	0.5	0.16	-3094007.0604156553745	721363.39226770866662	1838160.5174467400648
1	0	0.5	0.17	-3291478.8642667457461	777047.31024755106773	1981618.691028455738
1	0	0.5	0.18	-3489087.9566347710788	832854.76224547659513	2125076.8646101700142
1	0	0.5	0.19	-3686805.318300139159	888762.47760581388138	2268535.0381918847561
1	0	0.5	0.2	-3884613.8926254101098	944752.6566134224413	2411993.2117736004293
1	0	1	0	-295730.99181171879172	510180.05401596939191	1158117.3381678659935
1	0	1	0.01	-375243.16653448343277	453696.59477946651168	1001485.2574293921934
1	0	1	0.02	-498467.56784069910645	398870.9494240473723	846163.45501928590238
1	0	1	0.03	-644649.87509136274457	346490.96677346341312	694752.60761540872045
1	0	1	0.04	-804961.81116766855121	297849.73963055404602	579136.28899983200245
1	0	1	0.05	-974718.91429102420807	255095.01430169024388	493611.4956550806528
1	0	1	0.06	-1151122.7161280289292	221659.61929585100734	493611.49565508111846
1	0	1	0.07	-1332367.9231151975691	202220.24852223528433	512240.17920274048811
1	0	1	0.08	-1517226.2930888570845	200882.03647817511228	557587.27324127755128
1	0	1	0.09	-1704829.5224041976035	217978.61782306595705	607769.21332217054442
1	0	1	0.1	-1894546.1982855349779	249752.44675017852569	667061.97033845121041
1	0	1	0.11	-2085907.5007027387619	291441.95488734700484	732571.9973872709088
1	0	1	0.12	-2278560.035206720233	339412.82100213482045	856204.43883101176471
1	0	1	0.13	-2472234.6494653597474	391362.02502785960678	1009110.1696361046052
1	0	1	0.14	-2666725.1149525269866	445901.25340527814114	1162127.0318170834798
1	0	1	0.15	-2861873.1382724456489	502187.35798912757309	1318114.4753976226784
1	0	1	0.16	-3057557.5692657083273	559693.55797705380246	1474746.5561360961292
1	0	1	0.17	-3253686.4712266549468	618079.39355647366028	1631378.63687456958
1	0	1	0.18	-3450191.1912880465388	677117.3577884954866	1788010.7176130418666
1	0	1	0.19	-3647021.8588424175978	736650.67520434700418	1944642.7983515155502
1	0	1	0.2	-3844143.9229881577194	796568.28955261479132	2101274.8790899892338
1	0	1.5	0	-434931.41928565874696	762193.51649024046492	1636309.2856060145423
1	0	1.5	0.01	-479632.76582530885935	706823.08509615447838	1501715.7649316284806
1	0	1.5	0.02	-584546.89998087286949	653361.45600905572064	1367122.2442572440486
1	0	1.5	0.03	-718794.92902109399438	602317.11938151088543	1232528.7235828586854
1	0	1.5	0.04	-870488.70743114128709	554358.21805954177398	1112751.5229634994175
1	0	1.5	0.05	-1033643.3114238940179	510355.32434628281044	1004060.3485875148326
1	0	1.5	0.06	-1204793.8203511871397	471417.52383146411739	996527.46804397820961
1	0	1.5	0.07	-1381750.1633432693779	438894.98515079822391	999653.80153191369027
1	0	1.5	0.08	-1563042.7939260005951	414301.26204730564496	1032617.5122939087451
1	0	1.5	0.09	-1747642.605886682868	399104.82959468307672	1073898.4231084245257
1	0	1.5	0.1	-1934805.9358437098563	394393.45304651383776	1124948.4612255059183
1	0	1.5	0.11	-2123982.6839731186628	400537.29930487682577	1175998.499342587078
1	0	1.5	0.12	-2314758.8375470638275	417056.90497973625315	1232047.9393742028624
1	0	1.5	0.13	-2506818.9249522201717	442792.4992323712213	1294428.3687743027695
1	0	1.5	0.14	-2699920.6018765680492	476252.38507535360986	1356808.7981744031422
1	0	1.5	0.15	-2893876.9318383857608	515935.91921072563855	1424059.2668013703078
1	0	1.5	0.16	-3088543.7181269191206	560522.80301697878167	1493992.3082226240076
1	0	1.5	0.17	-3283810.2514181807637	608936.90494216687512	1577735.6912308582105
1	0	1.5	0.18	-3479592.4267238788307	660336.95733876666054	1731212.2152094147168
1	0	1.5	0.19	-3675827.5409210845828	714078.45632159756497	1889572.3059905366972
1	0	1.5	0.2	-3872470.3059949763119	769671.09070445911493	2048189.0971432002261
1	0	2	0	-568968.90047980844975	961478.92922378482763	2045829.8299160241149
1	0	2	0.01	-585128.98211096972227	906144.04421040730085	1906721.3235738496296
1	0	2	0.02	-676275.96055943891406	852701.23678235523403	1773127.0873013047967
1	0	2	0.03	-801844.44716422259808	801529.06522334495094	1651983.596687677782
1	0	2	0.04	-947377.85022792965174	753090.53799722332042	1530840.1060740505345
1	0	2	0.05	-1105861.7574729658663	707946.99468220968265	1425173.2504111756571
1	0	2	0.06	-1273321.02077864483	666768.03235734498594	1391713.1084604591597
1	0	2	0.07	-1447277.3389335535467	630331.13797692477237	1384436.6495634389576
1	0	2	0.08	-1626083.1777926795185	599501.58537602867	1410540.9006988527253
1	0	2	0.09	-1808592.1884929984808	575181.7374264812097	1444001.0426495685242
1	0	2	0.1	-1993979.6029713638127	558223.05945294513367	1487669.5304185319692
1	0	2	0.11	-2181637.0215583741665	549307.75524887104984	1539094.6880977950059
1	0	2	0.12	-2371107.2127349860966	548827.94087362964638	1590519.8457770582754
1	0	2	0.13	-2562041.8471659682691	556805.42402719962411	1641945.0034563210793
1	0	2	0.14	-2754173.0705061852932	572887.00858382042497	1701464.3918422823772
1	0	2	0.15	-2947293.7885898686945	596417.50629706832115	1763974.5072450824082
1	0	2	0.16	-3141243.6366654075682	626558.24299628857989	1826484.6226478838362
1	0	2	0.17	-3335898.7713616713881	662407.49901481787674	1888994.7380506847985
1	0	2	0.18	-3531164.3018784560263	703092.61870042583905	1957216.2685167349409
1	0	2	0.19	-3726968.5854460857809	747824.73817497247364	2027034.7758757995907
1	0	2	0.2	-3923258.8664264082909	795921.80546671594493	2096853.2832348642405
1	0	2.5	0	-693933.41445489600301	1124609.5920018437319	2363096.2562820529565
1	0	2.5	0.01	-685912.45187017321587	1068954.4038647576235	2235439.9401786103845
1	0	2.5	0.02	-766188.62776428461075	1015148.8938744538464	2110656.6542698908597
1	0	2.5	0.03	-885069.26453303918242	963502.99013576575089	1985873.3683611722663
1	0	2.5	0.04	-1025914.1724326014519	914382.70070029201452	1861090.0824524539057
1	0	2.5	0.05	-1180869.5016299560666	868216.79939558799379	1759264.9859031336382
1	0	2.5	0.06	-1345553.5230576023459	825501.10492890654132	1725508.7542261567432
1	0	2.5	0.07	-1517261.6200146339834	786797.75914674298838	1700333.2595755201764
1	0	2.5	0.08	-1694207.9502016566694	752725.93248219590168	1718872.8300060865004
1	0	2.5	0.09	-1875155.7672049477696	723939.8601661673747	1752629.0616830640938
1	0	2.5	0.1	-2059218.1495560146868	701090.92770980333444	1786385.2933600419201
1	0	2.5	0.11	-2245742.2402312941849	684773.70916963461787	1835747.5866633597761
1	0	2.5	0.12	-2434237.9848105944693	675461.73296216502786	1887300.5707961623557
1	0	2.5	0.13	-2624332.1853561736643	673445.65385480551049	1938853.5549289640039
1	0	2.5	0.14	-2815737.7364189215004	678790.4837053673109	1990406.5390617661178
1	0	2.5	0.15	-3008232.37000701949	691325.51588623586576	2045925.8302377387881
1	0	2.5	0.16	-3201643.5771070979536	710670.38290274818428	2108322.9686732394621
1	0	2.5	0.17	-3395837.6674462631345	736288.52593821613118	2170720.1071087392047
1	0	2.5	0.18	-3590711.6768707484007	767552.06324702699203	2233117.2455442389473
1	0	2.5	0.19	-3786187.2803455628455	803802.539330791682	2295514.3839797391556
1	0	2.5	0.2	-3982206.1467415727675	844397.92204141186085	2361183.7200985094532
1	0	3	0	-809690.60487611219287	1262266.6291312433314	2643547.7217633314431
1	0	3	0.01	-780717.94545628875494	1206175.6513937439304	2515786.4313591076061
1	0	3	0.02	-852117.6005218885839	1151895.1181594973896	2388025.1409548833035
1	0	3	0.03	-965640.25627418980002	1099693.1511526464019	2260263.8505506590009
1	0	3	0.04	-1102764.2556592859328	1049879.846635882277	2132502.5601464365609
1	0	3	0.05	-1254934.9677912816405	1002811.2286368357018	2034746.4759133297484
1	0	3	0.06	-1417436.957374997437	958891.56342928076629	2000814.2070071492344
1	0	3	0.07	-1587381.8560818769038	918572.64425812975969	1966881.9381009696517
1	0	3	0.08	-1762872.3780246637762	882348.21775231475476	1979039.0810756594874
1	0	3	0.09	-1942599.3534918725491	850741.47318077320233	2012971.3499818397686
1	0	3	0.1	-2125626.289172410965	824283.76984912692569	2046903.6188880198169
1	0	3	0.11	-2311264.9989736787975	803483.92299496475607	2086257.4222585598473
1	0	3	0.12	-2498999.4236691109836	788789.64116794778965	2137800.1553622242063
1	0	3	0.13	-2688436.7126793302596	780545.82424360758159	2189342.8884658887982
1	0	3	0.14	-2879274.5802948474884	778957.29773986840155	2240885.6215695538558
1	0	3	0.15	-3071278.8157981261611	784064.51385587826371	2292428.3546732179821
1	0	3	0.16	-3264267.3674286827445	795738.55901401652955	2346299.3310855240561
1	0	3	0.17	-3458098.8182948231697	813696.84093226317782	2408458.7391855455935
1	0	3	0.18	-3652663.8770079798996	837535.22063993068878	2470618.1472855671309
1	0	3	0.19	-3847878.9870059303939	866768.68016178451944	2532777.5553855882026
1	0	3	0.2	-4043681.4559977315366	900872.15865194692742	2594936.9634856106713
1	0	3.5	0	-917003.86600890383124	1381119.2979232531507	2882885.8761917380616
1	0	3.5	0.01	-869574.10309750959277	1324561.4938681656495	2752617.1389045468532
1	0	3.5	0.02	-933544.48034301772714	1269781.2775734618772	2622348.4016173556447
1	0	3.5	0.03	-1042651.2287686876953	1217018.7100490685552	2492079.6643301630393
1	0	3.5	0.04	-1176731.6276193186641	1166547.5962164956145	2361810.9270429718308
1	0	3.5	0.05	-1326634.8768437132239	1118678.1278647796717	2268111.1710496516898
1	0	3.5	0.06	-1487365.3700275048614	1073758.3150705716107	2234080.0219045318663
1	0	3.5	0.07	-1655881.7525911442935	1032173.3335534863872	2200048.8727594139054
