# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_smallpsi/phi.table.Lepus_SFS.txt
# sampleSize: 19
# noDataSets: 1
# minPsi: 0
# maxPsi: 0.2
# noStepsPsi: 20
# minRho: 0
# maxRho: 30
# noStepsRho: 60
# noIncongruentSites: 31
# minMisIdent: 0
# maxMisIdent: 0.2
# noStepsMisIdent: 20
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-137.50449191748634803	103.74009090611617978	271.18180086479753754
1	0	0	0.01	-138.13407816909193571	103.87371574905272098	267.48700240907038506
1	0	0	0.02	-125.80624208731933322	104.11903924269266497	263.79220395334345994
1	0	0	0.03	-123.30876670011048191	104.4752745348313141	260.09740549761642114
1	0	0	0.04	-125.14328203707464127	104.94129212295791831	258.4487564566140918
1	0	0	0.05	-129.49826344536609213	105.51563743229824865	257.87073583930708764
1	0	0	0.06	-135.52260400532941276	106.19655286332542232	257.29271522200008349
1	0	0	0.07	-142.73834437712412182	106.98200355369377235	256.71469460469307933
1	0	0	0.08	-150.84650840951940154	107.8697060145833575	257.15792315363290754
1	0	0	0.09	-159.64616782239068016	108.85715876313945216	257.87316140483494564
1	0	0	0.1	-168.99525885317848406	109.94167407900739875	259.06320385223170888
1	0	0	0.11	-178.78950216388602712	111.12041005866855414	260.25324629962847212
1	0	0	0.12	-188.95013658337393281	112.39040221886929771	261.44328874702523535
1	0	0	0.13	-199.41633584903115661	113.74859400112339358	262.63333119442194175
1	0	0	0.14	-210.14028948807390407	115.19186564400381201	263.82337364181864814
1	0	0	0.15	-221.0838848175617386	116.71706101020816959	265.01341608921535453
1	0	0	0.16	-232.21639550559302734	118.32101207383122699	266.20345853661211777
1	0	0	0.17	-243.51282713999148655	120.00056088407001198	267.39350098400888101
1	0	0	0.18	-254.95270549764518364	121.75257892056204412	268.58354343140564424
1	0	0	0.19	-266.51917135224539379	123.57398384014574333	269.77358587880235063
1	0	0	0.2	-278.19829260795086157	125.46175368391013194	270.96362832619917071
1	0	0.5	0	-158.08623321829031738	80.1133912538843731	220.4306299473351487
1	0	0.5	0.01	-146.11334997518270029	77.87584005931839215	214.59268619955844315
1	0	0.5	0.02	-125.312283535161896	75.821879010247798192	208.75474245178159549
1	0	0.5	0.03	-116.61988503445127208	73.966803860233923729	202.91679870400491836
1	0	0.5	0.04	-113.67922596436096683	72.3259197999272061	197.07885495622815597
1	0	0.5	0.05	-114.21752613142939481	70.914096916383471125	191.24091120845133673
1	0	0.5	0.06	-117.1103749667277043	69.745246956193980736	185.54723618778206173
1	0	0.5	0.07	-121.70602704390148574	68.831748993093924582	180.57367376382683233
1	0	0.5	0.08	-127.58892032041899256	68.183867086500882237	177.36111700459534291
1	0	0.5	0.09	-134.47655020797697034	67.809215135145805675	175.53737622952013453
1	0	0.5	0.1	-142.16779952220258565	67.712328630559511566	174.58056574256644922
1	0	0.5	0.11	-150.51442569302685115	67.89439671176721447	173.62375525561270706
1	0	0.5	0.12	-159.40416191622898623	68.353190313915149545	172.66694476865899333
1	0	0.5	0.13	-168.75013350838980841	69.083196309083106712	171.71013428170530801
1	0	0.5	0.14	-178.48393119771617421	70.075939261788420254	171.25876471743788443
1	0	0.5	0.15	-188.55091169089428149	71.320448536993509947	171.66471985798662558
1	0	0.5	0.16	-198.90691225789441887	72.80381418969444951	172.07067499853533832
1	0	0.5	0.17	-209.51589479428662344	74.511772268351720072	172.47663013908407947
1	0	0.5	0.18	-220.34821921326101801	76.429267414567007677	172.88258527963279221
1	0	0.5	0.19	-231.37935396088369089	78.540954243232974363	173.28854042018156179
1	0	0.5	0.2	-242.58889698532311741	80.831614695621311739	176.65375713754824005
1	0	1	0	-179.43195900927412367	82.347872678292119986	215.17575920673340306
1	0	1	0.01	-159.13750060806592046	78.759868904116146382	202.96958203594374481
1	0	1	0.02	-133.748962669962566	75.302829050348762507	190.76340486515402972
1	0	1	0.03	-122.05751483117137468	71.995621215582858099	178.55722769436434305
1	0	1	0.04	-116.96278193083253427	68.859837231062797969	169.97907510327456748
1	0	1	0.05	-115.85975417397480669	65.919945318533024192	163.77390151362368442
1	0	1	0.06	-117.45079086950931924	63.203287067584113856	157.56872792397280136
1	0	1	0.07	-120.98386553642512808	60.739823012054053208	151.36355433432194673
1	0	1	0.08	-125.98079436874263592	58.56151467442588654	146.16153105476766427
1	0	1	0.09	-132.11765426567080794	56.70123632187829088	143.93871559645896241
1	0	1	0.1	-139.16467059488536506	55.191155975709740744	141.76121940232326324
1	0	1	0.11	-146.9530407909060159	54.060627941968078858	139.58372320818762091
1	0	1	0.12	-155.35530221279714169	53.33379404340008989	137.54803045783330617
1	0	1	0.13	-164.27306703396084231	53.027256941000445067	136.43015236555356751
1	0	1	0.14	-173.6290184741790199	53.148289420724360355	135.31227427327371515
1	0	1	0.15	-183.36149743368741838	53.694000186710162836	134.19439618099397649
1	0	1	0.16	-193.42072974081384018	54.651669158324160946	133.5047074251052095
1	0	1	0.17	-203.76612897272912051	56.000165406635645127	133.77652841082260693
1	0	1	0.18	-214.36432551962298021	57.712099315389011167	134.3420454880145769
1	0	1	0.19	-225.18769868974459314	59.756243081767159708	140.61487005487077795
1	0	1	0.2	-236.21326510908829732	62.099799235942029441	146.88769462172689373
1	0	1.5	0	-197.42491922839235485	89.166860528830753196	238.5154617119227396
1	0	1.5	0.01	-170.66567029594148153	84.881774391496392695	226.06506766948865561
1	0	1.5	0.02	-142.15240949847179763	80.684559621574578614	213.61467362705457163
1	0	1.5	0.03	-128.53705155960460615	76.589663982834792932	201.16427958462048764
1	0	1.5	0.04	-122.1056067873109896	72.614399583534705584	188.71388554218637523
1	0	1.5	0.05	-120.0047861643208762	68.77951261057714305	176.26349149975229125
1	0	1.5	0.06	-120.81518822457451279	65.109811958086808659	163.81309745731817884
1	0	1.5	0.07	-123.71715329379730974	61.634809983351892981	151.70817046371593051
1	0	1.5	0.08	-128.19149191528617848	58.389279155920007724	140.64733798780832785
1	0	1.5	0.09	-133.88774996159622788	55.413554020741202066	131.88848335468023265
1	0	1.5	0.1	-140.55810446909254097	52.753312201878280518	126.97125267376257796
1	0	1.5	0.11	-148.02097647641244293	50.458476567626021847	124.86159723241425468
1	0	1.5	0.12	-156.13956176222291106	48.580857310056586584	122.75194179106595982
1	0	1.5	0.13	-164.80845727031100978	47.170302804116943207	120.64228634971772181
1	0	1.5	0.14	-173.94495853283342512	46.269549019648685828	118.53263090836938431
1	0	1.5	0.15	-183.48318920788597097	45.908613533070813162	117.16620900904436553
1	0	1.5	0.16	-193.37001979143224162	46.100177405012452425	116.32198427223154624
1	0	1.5	0.17	-203.5621564586670047	46.837462006560258487	115.58630708666342457
1	0	1.5	0.18	-214.02401818251473742	48.095376782554886574	122.64573754852590071
1	0	1.5	0.19	-224.72615868299180875	49.834512325229532337	129.87363163169959535
1	0	1.5	0.2	-235.64407348976442336	52.006613999842144835	137.10152571487316209
1	0	2	0	-212.8043490561985891	96.687080028583153535	257.51391054177707929
1	0	2	0.01	-180.73225089581615066	92.014959830369164706	244.78206637602815476
1	0	2	0.02	-149.89707587416887691	87.408739315000715919	232.0502222102791734
1	0	2	0.03	-134.90800552044811411	82.879406806597856416	219.31837804453019203
1	0	2	0.04	-127.54157382598691584	78.440282537174823574	206.58653387878123908
1	0	2	0.05	-124.75132533119381151	74.107578993869267947	193.8546897130323714
1	0	2	0.06	-125.02662296130301911	69.901087917684222361	182.10592210638097299
1	0	2	0.07	-127.49834762995806159	65.845002906382731567	170.86899286623810212
1	0	2	0.08	-131.61782551164446886	61.968864854294167799	160.10228288971461552
1	0	2	0.09	-137.01575992486709765	58.30857143542858978	150.95466795759591605
1	0	2	0.1	-143.43162935376949463	54.907306274062221974	142.80485952898737878
1	0	2	0.11	-150.6749311275987111	51.816103188384893485	134.6550511003786994
1	0	2	0.12	-158.60237450751947108	49.093566838309044442	126.50524267176996318
1	0	2	0.13	-167.10370852299388389	46.804076191162792497	118.35543424316139749
1	0	2	0.14	-176.09252026269950875	45.013756555427704598	113.1393300262666628
1	0	2	0.15	-185.50004024616146125	43.783884001729866497	111.72618012065319704
1	0	2	0.16	-195.27084363346966711	43.162393414233285682	110.31303021503968864
1	0	2	0.17	-205.35978898815869798	43.175564850221114455	113.86851199891530939
1	0	2	0.18	-215.72978929126543335	43.822826049317441743	120.16225828644337525
1	0	2	0.19	-226.35015726004758108	45.076870495680033457	127.71765875368039644
1	0	2	0.2	-237.1953560154556726	46.889038296198499722	135.27305922091733237
1	0	2.5	0	-226.20786534388912514	103.92302690959091649	272.37298832768300372
1	0	2.5	0.01	-189.62409329053821239	99.012648792106901396	259.7886605241130269
1	0	2.5	0.02	-156.97193015821653717	94.157996419931237142	247.45677317326106959
1	0	2.5	0.03	-140.93867335116124195	89.368151648177118318	235.12488582240905544
1	0	2.5	0.04	-132.87165625149759762	84.654115897672170377	223.07997357487454337
1	0	2.5	0.05	-129.56911130716844127	80.029286627025271628	212.11539992658276788
1	0	2.5	0.06	-129.44891566716160014	75.510056733217666647	201.15082627829104922
1	0	2.5	0.07	-131.60382356961440564	71.116560574074867418	190.1862526299992453
1	0	2.5	0.08	-135.46268434105559209	66.873584307464042809	179.22167898170764033
1	0	2.5	0.09	-140.64195222771695626	62.811638559888450573	169.27157981343896154
1	0	2.5	0.1	-146.87156095797331545	58.968145377294661102	160.90047698142660693
1	0	2.5	0.11	-153.95433206860047903	55.388599640237977439	152.52937414941422389
1	0	2.5	0.12	-161.74214058564075458	52.127404895932770046	144.1582713174018977
1	0	2.5	0.13	-170.12113364179481323	49.247845460198448109	135.78716848538962836
1	0	2.5	0.14	-179.00215008203576872	46.820388656735715927	127.41606565337735901
1	0	2.5	0.15	-188.31428100753646504	44.918391285453573403	119.04496282136501861
