# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_psi/phi.table.ZebraFinch_SFS.txt
# sampleSize: 37
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 118506
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-14458554.799458235502	15366759.669585872442	34631939.317389532924
1	0	0	0.01	-15432366.751646384597	15493571.181414982304	35075619.520760953426
1	0	0	0.02	-16713850.522659406066	15622227.844160767272	35519299.724132336676
1	0	0	0.03	-18032203.952610328794	15752684.448268111795	35962979.927503734827
1	0	0	0.04	-19363184.132625281811	15884896.64710102044	36406660.13087515533
1	0	0	0.05	-20698229.608660161495	16018820.971032526344	36850340.334246568382
1	0	0	0.06	-22033254.956713348627	16154414.838224219158	37294020.537617966533
1	0	0	0.07	-23366049.410833671689	16291636.562341531739	37737700.740989357233
1	0	0	0.08	-24695353.226959064603	16430445.35744375363	38181380.944360792637
1	0	0	0.09	-26020448.071453765035	16570801.340279338881	38625061.147732198238
1	0	0	0.1	-27340948.307919293642	16712665.53020790033	39068741.351103588939
1	0	0	0.11	-28656684.05193759501	16855999.846960496157	39512421.55447499454
1	0	0	0.12	-29967630.977494195104	17000767.106439705938	39956101.757846400142
1	0	0	0.13	-31273865.945930823684	17146931.014750402421	40399781.961217813194
1	0	0	0.14	-32575537.814263746142	17294456.160641577095	40843462.164589218795
1	0	0	0.15	-33872847.619155779481	17443308.006528887898	41287142.367960631847
1	0	0.5	0	-7394151.5353432446718	11534089.220082700253	25025988.155260812491
1	0	0.5	0.01	-8219044.0977290421724	11689416.142416302115	25318194.636465735734
1	0	0.5	0.02	-9417398.2263202518225	11848798.087890319526	25788338.519542381167
1	0	0.5	0.03	-10681322.221378847957	12012073.645622532815	26258482.402619052678
1	0	0.5	0.04	-11974136.989154756069	12179086.220705606043	26728626.285695701838
1	0	0.5	0.05	-13281575.123327329755	12349684.19993638806	27198770.168772365898
1	0	0.5	0.06	-14596455.413934066892	12523721.063174130395	27668914.051849022508
1	0	0.5	0.07	-15914699.489857941866	12701055.446752447635	28139057.934925679117
1	0	0.5	0.08	-17233835.118641257286	12881551.165058661252	28609201.818002328277
1	0	0.5	0.09	-18552313.357918485999	13065077.196014728397	29079345.701078996062
1	0	0.5	0.1	-19869155.867387026548	13251507.635770332068	29549489.584155648947
1	0	0.5	0.11	-21183756.153263136744	13440721.627471886575	30024778.867521934211
1	0	0.5	0.12	-22495760.055944666266	13632603.268516143784	30585769.807077929378
1	0	0.5	0.13	-23804990.196774974465	13827041.500247964635	31146760.746633909643
1	0	0.5	0.14	-25111396.282874524593	14023929.983626460657	31707751.686189886183
1	0	0.5	0.15	-26415021.359660193324	14223166.963970815763	32268742.625745866448
1	0	1	0	-5005505.345126375556	9624009.7190121114254	20538052.109345950186
1	0	1	0.01	-5731556.6727949827909	9792707.8077035974711	20694365.354075349867
1	0	1	0.02	-6884939.7760286480188	9967280.9337387792766	21213070.334628779441
1	0	1	0.03	-8121190.7056448310614	10147425.884759172797	21731775.31518220529
1	0	1	0.04	-9394915.2314002066851	10332851.24401210621	22250480.295735634863
1	0	1	0.05	-10688409.720976218581	10523277.884988060221	22769185.276289060712
1	0	1	0.06	-11992787.568875789642	10718439.248699838296	23287890.25684247911
1	0	1	0.07	-13303001.275933295488	10918081.437736848369	23806595.237395912409
1	0	1	0.08	-14615976.093907147646	11121963.158706866205	24325300.217949356884
1	0	1	0.09	-15929763.694933906198	11329855.54170069471	24844005.198502779007
1	0	1	0.1	-17243107.99852104485	11541541.862228516489	25362710.17905620113
1	0	1	0.11	-18555202.070402354002	11756817.187867421657	25881415.159609634429
1	0	1	0.12	-19865542.790029898286	11975487.968758963048	26400120.140163060278
1	0	1	0.13	-21173839.435052976012	12197371.588192297146	26918825.120716493577
1	0	1	0.14	-22479953.806311845779	12422295.886855414137	27492493.126150418073
1	0	1	0.15	-23783859.706090256572	12650098.671959968284	28105748.31928615272
1	0	1.5	0	-3700382.224075615406	8291992.073670049198	17523836.965063206851
1	0	1.5	0.01	-4351113.839356943965	8469594.9565237946808	17560557.942641001195
1	0	1.5	0.02	-5474493.996808886528	8654859.8342693615705	18111888.311644528061
1	0	1.5	0.03	-6692907.9960756003857	8847305.3874970357865	18663218.680648040026
1	0	1.5	0.04	-7954487.9165900349617	9046473.3644624426961	19214549.049651566893
1	0	1.5	0.05	-9239142.5322528928518	9251929.6308246962726	19765879.418655075133
1	0	1.5	0.06	-10536842.375537902117	9463264.6216326914728	20317209.787658601999
1	0	1.5	0.07	-11841905.642943918705	9680093.3130764365196	20868540.156662106514
1	0	1.5	0.08	-13150869.872136667371	9902054.8193896990269	21419870.525665637106
1	0	1.5	0.09	-14461533.035230144858	10128811.706613939255	21971200.894669145346
1	0	1.5	0.1	-15772464.413707539439	10360049.101012496278	22522531.263672679663
1	0	1.5	0.11	-17082732.070064172149	10595473.656625706702	23073861.632676195353
