# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_psi/phi.table.LittleEgret_SFS.txt
# sampleSize: 9
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 361539
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-146138.18238872662187	451570.62448230176233	1167264.4974049744196
1	0	0	0.01	-186887.62746354937553	442428.85236428905046	1130011.4154159154277
1	0	0	0.02	-106682.00331275165081	437947.09293385810452	1092758.3334268564358
1	0	0	0.03	-130889.60879370942712	438268.33026108826743	1064800.963487172965
1	0	0	0.04	-197816.5431155487895	443382.1249286630773	1040096.2880628497805
1	0	0	0.05	-288006.92516020312905	453126.24554141657427	1015391.6126385263633
1	0	0	0.06	-392728.41603182628751	467211.07262826379156	997770.17057091509923
1	0	0	0.07	-507286.42087028175592	485258.7811366590322	997770.17057091579773
1	0	0	0.08	-628859.11338350921869	506846.2185414894484	997770.17057091509923
1	0	0	0.09	-755616.8228528983891	531542.28441881132312	997770.17057091521565
1	0	0	0.1	-886306.81905879452825	558935.07431214139797	1034566.8908682856709
1	0	0	0.11	-1020035.8758206777275	588648.2317677163519	1117830.7969280416146
1	0	0	0.12	-1156147.0586711205542	620348.42671355977654	1201094.7029877975583
1	0	0	0.13	-1294145.4647198095918	653746.66850738739595	1284358.6090475539677
1	0	0	0.14	-1433651.1913010627031	688595.92573498154525	1367622.5151073099114
1	0	0	0.15	-1574368.3116200976074	724686.89624479459599	1450886.4211670651566
1	0	0.5	0	-405244.63848939538002	772971.20599378761835	1716732.1137389927171
1	0	0.5	0.01	-386021.05981726199389	714941.26183303107973	1590619.8952049417421
1	0	0.5	0.02	-256486.28582342341542	657088.44454626506194	1464507.6766708919313
1	0	0.5	0.03	-239298.81709970906377	599464.0385794294998	1338395.4581368411891
1	0	0.5	0.04	-270953.16851728037	542140.88266113610007	1212283.2396027899813
1	0	0.5	0.05	-330728.13075719028711	485225.75494726060424	1086171.0210687397048
1	0	0.5	0.06	-408976.0885786190629	428881.12966717127711	967947.698951013037
1	0	0.5	0.07	-500321.1363759227097	373365.38004205067409	855958.56477322254796
1	0	0.5	0.08	-601422.03564513474703	319111.39771592058241	743969.43059543357231
1	0	0.5	0.09	-710045.04807070270181	266889.78024528792594	631980.29641764401458
1	0	0.5	0.1	-824617.62395085021853	218164.88937373581575	519991.16223985416582
1	0	0.5	0.11	-943989.59149120002985	175867.49733943882165	418796.33571563049918
1	0	0.5	0.12	-1067294.8845993876457	145706.99294929904863	383416.99607771891169
1	0	0.5	0.13	-1193866.439658716321	136012.39824781983043	348037.6564398088376
1	0	0.5	0.14	-1323181.2066687829792	150784.31837835974875	312658.31680189759936
1	0	0.5	0.15	-1454823.1851162686944	184228.50585464856704	364073.50565613328945
1	0	1	0	-654952.39500898867846	1107936.9520227427129	2275554.8925373693928
1	0	1	0.01	-595661.89695303887129	1047426.3317753600422	2160231.7639567335136
1	0	1	0.02	-436051.69038201868534	987438.44824221660383	2044908.6353760981001
1	0	1	0.03	-395273.68586969748139	928074.67122493626084	1929585.5067954612896
1	0	1	0.04	-407831.14967057108879	869462.84532648115419	1814262.3782148263417
1	0	1	0.05	-451780.18158504739404	811765.86597912316211	1698939.2496341909282
1	0	1	0.06	-516676.34727633371949	755193.44585749635007	1583616.121053555049
1	0	1	0.07	-596599.53245082125068	700018.28397197602317	1468292.9924729182385
1	0	1	0.08	-687822.47149542346597	646598.16954248398542	1352969.8638922832906
1	0	1	0.09	-787828.92936430871487	595405.68148782325443	1237646.7353116476443
1	0	1	0.1	-894834.16185938566923	547066.53706101991702	1122323.6067310119979
1	0	1	0.11	-1007525.0513852089643	502405.02000633010175	1019388.803717218223
1	0	1	0.12	-1124908.0193662941456	462487.78363850311143	988830.74590103933588
1	0	1	0.13	-1246214.5798486992717	428642.31432957848301	958272.68808486009948
1	0	1	0.14	-1370839.8641364872456	402403.5971315955976	927714.63026868039742
1	0	1	0.15	-1498301.0486491546035	385328.70911307219649	910494.17076128337067
1	0	1.5	0	-863522.86499729007483	1344111.7403144780546	2753936.4538342547603
1	0	1.5	0.01	-772667.64497568458319	1282321.9826544751413	2632790.9536420456134
1	0	1.5	0.02	-590855.9854001365602	1221220.7486915120389	2511645.4534498364665
1	0	1.5	0.03	-533404.08693338930607	1160916.7584105569404	2390499.9532576282509
1	0	1.5	0.04	-532869.83053225278854	1101540.9551942937542	2269354.4530654186383
1	0	1.5	0.05	-566208.66855099797249	1043251.8320474214852	2148208.9528732090257
1	0	1.5	0.06	-622301.84071076661348	986242.08349588967394	2027063.4526810008101
1	0	1.5	0.07	-694790.26923123002052	930746.83052610303275	1905917.9524887907319
1	0	1.5	0.08	-779646.97993146255612	877053.60776780708693	1784772.4522965820506
1	0	1.5	0.09	-874143.09190286695957	825514.11396215984132	1663626.952104373835
1	0	1.5	0.1	-976338.15126778557897	776557.29144152381923	1542481.451912163524
1	0	1.5	0.11	-1084801.9838156476617	730702.43910864822101	1444029.0422154788394
1	0	1.5	0.12	-1198451.036947697401	688569.55729666352272	1413030.1508178282529
1	0	1.5	0.13	-1316446.3457224071026	650881.83953785628546	1382031.2594201788306
1	0	1.5	0.14	-1438126.9273494817317	618452.46861234831158	1351032.3680225282442
1	0	1.5	0.15	-1562964.6471354290843	592146.00894821225666	1350863.6669666385278
1	0	2	0	-1041115.5184419229627	1524710.4650120881852	3100685.5274762054905
1	0	2	0.01	-923958.18270402401686	1461957.4144616296981	2975382.3677162053064
1	0	2	0.02	-724586.41537908837199	1399983.5394773199223	2850079.2079562051222
1	0	2	0.03	-654367.54244682192802	1338897.0421364421491	2724776.0481962054037
1	0	2	0.04	-644024.11528584361076	1278825.0926542456727	2599472.8884362052195
1	0	2	0.05	-669533.31871344149113	1219917.5772521367762	2474169.7286762050353
1	0	2	0.06	-719202.29927431792021	1162351.5485865129158	2348866.5689162057824
1	0	2	0.07	-786310.14451053366065	1106336.4313084699679	2223563.4091562046669
1	0	2	0.08	-866588.92439008876681	1052119.9672591607086	2098260.2493962054141
1	0	2	0.09	-957142.14233743399382	999994.75063453637995	1972957.0896362054627
1	0	2	0.1	-1055908.5496690645814	950304.96505805756897	1847653.9298762038816
1	0	2	0.11	-1161368.3438409417868	903452.5452161411522	1756911.9550563013181
1	0	2	0.12	-1272369.8271650634706	859901.40471289225388	1725761.4242901261896
1	0	2	0.13	-1388021.1429449170828	820177.60254901321605	1694610.8935239524581
1	0	2	0.14	-1507619.5252229869366	784862.48677398543805	1687069.4313986054622
1	0	2	0.15	-1630603.3264211043715	754575.30843064200599	1687069.4313986049965
1	0	2.5	0	-1195526.9733534380794	1670276.8120857002214	3369641.7906722910702
1	0	2.5	0.01	-1055743.8812525197864	1606734.851185509935	3241147.6771545791999
1	0	2.5	0.02	-841913.8828794285655	1544029.6335908209439	3112653.5636368701234
1	0	2.5	0.03	-761450.7942833378911	1482267.3548211893067	2984159.4501191596501
1	0	2.5	0.04	-743365.90353532508016	1421570.9223602362908	2855665.3366014496423
1	0	2.5	0.05	-762765.61575610563159	1362082.8307416480966	2727171.2230837382376
1	0	2.5	0.06	-807462.36024975776672	1303968.4669008518104	2598677.1095660291612
1	0	2.5	0.07	-870430.72600494325161	1247419.8418783685192	2470182.9960483182222
1	0	2.5	0.08	-947203.61929412558675	1192659.6897361276206	2341688.8825306086801
1	0	2.5	0.09	-1034747.9245245493948	1139945.7809477704577	2213194.7690128982067
1	0	2.5	0.1	-1130905.0279242992401	1089575.1492436360568	2084700.6554951884318
1	0	2.5	0.11	-1234083.5345697775483	1041887.7111126148375	2002487.9703917189036
1	0	2.5	0.12	-1343077.7203093245625	997268.45616173115559	1971324.8468658293132
1	0	2.5	0.13	-1456954.0571646466851	956147.01752002676949	1958422.0761904395185
1	0	2.5	0.14	-1574977.0345374792814	918993.05706801044289	1958422.0761904399842
1	0	2.5	0.15	-1696558.8609237894416	886305.66574714775197	1958422.0761904392857
1	0	3	0	-1332073.3511136695743	1791810.5015629867557	3587439.8130829585716
1	0	3	0.01	-1172409.5192650854588	1727597.8099970191251	3456382.3014204483479
1	0	3	0.02	-946347.45197313278913	1664262.1110092932358	3325324.7897579381242
1	0	3	0.03	-857399.90553059801459	1601907.4307260201313	3194267.2780954288319
1	0	3	0.04	-832987.93674863129854	1540652.8877488542348	3063209.7664329200052
1	0	3	0.05	-847438.64529606327415	1480635.0279127003159	2932152.2547704088502
