# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_psi/phi.table.KLPN_SFS.txt
# sampleSize: 155
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 375
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-305246.74532359134173	56966.207448510234826	220246.30848342078389
1	0	0	0.01	-281165.75754064618377	57040.190870082660695	219158.6938572289655
1	0	0	0.02	-266476.10719045629958	57121.267202822018589	218122.2480029737635
1	0	0	0.03	-256197.0771899028332	57209.406290826736949	217159.75060990662314
1	0	0	0.04	-248632.27119735168526	57304.575544833613094	216306.81767681281781
1	0	0	0.05	-242916.79565805842867	57406.740000893354591	215491.19176414964022
1	0	0	0.06	-238543.14894850127166	57515.862382639810676	214723.87415296272957
1	0	0	0.07	-235186.58441668940941	57631.903166903321107	214617.42020353779662
1	0	0	0.08	-232626.36284464219352	57754.820652408285241	214569.49223913473543
1	0	0	0.09	-230705.54869488748955	57884.57103128900053	214521.56427473173244
1	0	0	0.1	-229308.61186856293352	58021.108463151562319	214473.6363103283802
1	0	0	0.11	-228348.10154846747173	58164.385151407092053	214506.01131848752266
1	0	0	0.12	-227756.29734570073197	58314.35142159791576	214556.6611711064761
1	0	0	0.13	-227479.75528341945028	58470.955801440220966	214607.31102372531313
1	0	0	0.14	-227475.6192295360961	58634.14510230619635	214657.96087634426658
1	0	0	0.15	-227709.05232284235535	58803.864501872551045	214708.61072896307451
1	0	0.5	0	-335294.27436501398915	51129.050417977327015	202244.17205264919903
1	0	0.5	0.01	-284509.04873927537119	51127.555221266702574	200198.9046116367972
1	0	0.5	0.02	-259506.39911942376057	51138.584503728321579	198278.53068403329235
1	0	0.5	0.03	-243519.78409627854126	51162.130165464368474	196364.06403749779565
1	0	0.5	0.04	-232286.65661256521707	51198.174937907242565	194509.21393692583661
1	0	0.5	0.05	-223999.82185621099779	51246.692447014196659	192763.9075395980617
1	0	0.5	0.06	-217717.30851884296862	51307.647309410385787	192063.49759188503958
1	0	0.5	0.07	-212884.49143670947524	51380.995260665251408	191509.02145261029364
1	0	0.5	0.08	-209147.00508977408754	51466.683314624424384	191025.30915391704184
