# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /datadisk/git/multiplemerger-project/data_analysis_current/tempsfs.txt
# Phi Input: /datadisk/git/multiplemerger-project/data_analysis_current/phi_tables_psi/phi.table.CrestedIbis_SFS.txt
# sampleSize: 15
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 44153
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-227712.63763669412583	261785.35899139518733	638464.99289571330883
1	0	0	0.01	-227954.60540437186137	258110.68405336973956	627338.56228909327183
1	0	0	0.02	-213828.44286014838144	254491.21220363362227	616212.13168247323483
1	0	0	0.03	-212679.13994616037235	250929.33224591909675	605085.70107585343067
1	0	0	0.04	-216916.66847736528143	247427.53141075966414	593959.2704692336265
1	0	0	0.05	-224125.74689090577886	243988.3965371993545	583085.1121507124044
1	0	0	0.06	-233211.40302775381133	240614.61471759446431	578375.64514428877737
1	0	0	0.07	-243578.98673599073663	237308.97330849251011	573666.17813786515035
1	0	0	0.08	-254867.56839033262804	234074.35920214923681	568956.71113144187257
1	0	0	0.09	-266840.95267338352278	230913.75724541486125	564247.24412501824554
1	0	0	0.1	-279336.00025205640122	227830.24768591093016	559537.77711859461851
1	0	0	0.11	-292235.40372392814606	224827.00252012498095	554828.3101121711079
1	0	0	0.12	-305452.1677884105593	221907.28061484749196	550118.84310574759729
1	0	0	0.13	-318920.20015113893896	219074.42147293372545	545409.37609932397027
1	0	0	0.14	-332588.31869199639186	216331.83751740324078	540699.90909290045965
1	0	0	0.15	-346416.27716229157522	213683.00477516528917	535990.44208647706546
1	0	0.5	0	-423362.98984400788322	359323.16048931836849	864733.46972730511334
1	0	0.5	0.01	-413654.57187692541629	354517.25994649081258	850770.81335924693849
1	0	0.5	0.02	-391760.12509444961324	349773.79659822460962	836808.15699118888006
1	0	0.5	0.03	-384263.80016295984387	345095.34512122574961	822845.50062313117087
1	0	0.5	0.04	-383158.15513069741428	340484.58542608469725	808882.8442550728796
1	0	0.5	0.05	-385773.64699826994911	335944.30468760873191	794920.18788701493759
1	0	0.5	0.06	-390848.62796792574227	331477.39899145788513	781000.04066492908169
1	0	0.5	0.07	-397673.07939437031746	327086.87451971630799	775452.97366424347274
1	0	0.5	0.08	-405802.7994179376401	322775.84819010924548	769905.90666355798021
1	0	0.5	0.09	-414939.45640326989815	318547.54765567631694	764358.83966287295334
1	0	0.5	0.1	-424872.27889649337158	314405.31056405435083	758811.77266218722798
1	0	0.5	0.11	-435446.62340372754261	310352.5829683826305	753264.70566150185186
1	0	0.5	0.12	-446545.67714695958421	306392.9167755797971	747717.63866081647575
1	0	0.5	0.13	-458079.15424959501252	302529.96611274912721	742170.57166013121605
1	0	0.5	0.14	-469975.97342297295108	298767.48248922277708	736623.5046594456071
1	0	0.5	0.15	-482179.32786557637155	295109.30863079911796	731076.43765876023099
1	0	1	0	-534263.88175968173891	405124.56327656179201	960937.41039219358936
1	0	1	0.01	-518163.64485470252112	399852.94388108933344	945828.06675466592424
1	0	1	0.02	-491872.86523637967184	394647.60746591322822	930718.72311713790987
1	0	1	0.03	-481049.59260470373556	389511.21141067688586	915609.37947961001191
1	0	1	0.04	-477283.79014087887481	384446.51895745407091	900500.03584208211396
1	0	1	0.05	-477695.61348582059145	379456.401250845287	885390.692204554216
1	0	1	0.06	-480899.79380493890494	374543.83902265504003	870281.34856702620164
1	0	1	0.07	-486107.42912931041792	369711.92385053256294	864431.43509054905735
1	0	1	0.08	-492820.86086675245315	364963.858912828553	858677.63057823735289
1	0	1	0.09	-500703.83149987226352	360302.95915475283982	852923.82606592576485
1	0	1	0.1	-509517.6747760316357	355732.65077393082902	847170.02155361371115
1	0	1	0.11	-519086.62598781194538	351256.46992684830911	841416.21704130200669
1	0	1	0.12	-529277.49394260160625	346878.0605517476215	835662.41252899030223
1	0	1	0.13	-539987.0367320748046	342601.17119861149695	829908.60801667824853
1	0	1	0.14	-551133.75017889076844	338429.65075333777349	824154.80350436654408
1	0	1	0.15	-562652.32076781382784	334367.44294150354108	818400.99899205483962
1	0	1.5	0	-614843.41298060957342	435905.4067780096666	1021668.9930003004847
1	0	1.5	0.01	-593830.03164508240297	430335.15754303720314	1005851.0889433110133
1	0	1.5	0.02	-564438.53441296610981	424833.8453728503664	990033.18488632107619
1	0	1.5	0.03	-551369.16592447459698	419404.18301249580691	974215.28082933148835
1	0	1.5	0.04	-545854.52718479977921	414048.98922697390663	958397.37677234166767
1	0	1.5	0.05	-544843.4996477891691	408771.19080089573981	942579.47271535219625
1	0	1.5	0.06	-546855.51169661758468	403573.82419464405393	927353.10179153003264
1	0	1.5	0.07	-551043.11999066639692	398460.03679014067166	921525.03748418483883
1	0	1.5	0.08	-556870.09382750466466	393433.08765267173294	915696.97317683964502
1	0	1.5	0.09	-563973.3985913367942	388496.34772856376367	909868.90886949410196
1	0	1.5	0.1	-572095.01358257280663	383653.29939198377542	904040.84456214937381
1	0	1.5	0.11	-581044.72837799694389	378907.53524795576232	898212.78025480383076
1	0	1.5	0.12	-590678.28446498373523	374262.756093109434	892384.71594745875336
1	0	1.5	0.13	-600883.77530933311209	369722.76793097757036	886556.65164011367597
1	0	1.5	0.14	-611572.78846281534061	365291.4779351966572	880728.58733276836574
1	0	1.5	0.15	-622674.41634571924806	360972.88925211661262	874900.52302542317193
1	0	2	0	-678572.60228289943188	459114.02404733397998	1065284.0522870314308
1	0	2	0.01	-653545.93722804356366	453324.22589094593422	1048963.8969482821412
1	0	2	0.02	-621785.92727482272312	447605.38719900813885	1032643.7416095328517
1	0	2	0.03	-607052.24595135031268	441960.26256529201055	1016323.5862707835622
1	0	2	0.04	-600264.31885233009234	436391.71267480414826	1000003.4309320342727
1	0	2	0.05	-598229.32997811026871	430902.70626090886071	983683.27559328475036
1	0	2	0.06	-599390.54898109985515	425496.32172553573037	968817.42726980184671
1	0	2	0.07	-602854.82974443770945	420175.74835799977882	962966.89346067945007
1	0	2	0.08	-608056.33541483152658	414944.28708166250726	957116.35965155716985
1	0	2	0.09	-614611.74485913105309	409805.35065134533215	951265.82584243488964
1	0	2	0.1	-622248.52645179675892	404762.46321823669132	945415.29203331272583
1	0	2	0.11	-630765.73176381597295	399819.25917316164123	939564.75822418997996
1	0	2	0.12	-640010.93481891043484	394979.4811737901764	933714.22441506769974
1	0	2	0.13	-649865.87422329699621	390246.97725686017657	927863.69060594565235
1	0	2	0.14	-660237.0979729979299	385625.69693314714823	922013.15679682337213
