# Joined estimation of psi, rho and misindent.
# VERSION: v1.0
# SFS Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/tempsfs.txt
# Phi Input: /home/schonufb/git_repos/usfs_mmc/main_dataanalysis/phi_tables_psi/phi.table.Zea_homozygote_SFS.txt
# sampleSize: 66
# noDataSets: 1
# minPsi: 0
# maxPsi: 1
# noStepsPsi: 20
# minRho: 0
# maxRho: 25
# noStepsRho: 50
# noIncongruentSites: 214398
# minMisIdent: 0
# maxMisIdent: 0.15
# noStepsMisIdent: 15
# lumping: 0
# folded: 0

#dataSet	Alpha	Rho	MisIdent	LogL	L2_Abs	L1_Abs
1	0	0	0	-10766.838586349971592	10989.104394224006683	43337.956987189718348
1	0	0	0.01	-425261.02158364211209	10374.277713028579456	40201.423460939207871
1	0	0	0.02	-288007.37356253876351	10042.0759982521231	37210.19614526926307
1	0	0	0.03	-213180.9878848597873	10020.647296958579318	34953.472570047793852
1	0	0	0.04	-164030.80712797795422	10311.929196477083678	33559.102828290917387
1	0	0	0.05	-128971.19817732227966	10890.859693523374517	33080.757949859937071
1	0	0	0.06	-102817.08779514371417	11714.870702769572745	34695.726509198480926
1	0	0	0.07	-82792.410909175872803	12736.482870437521342	39291.722067650800454
1	0	0	0.08	-67235.64451575349085	13912.232956755316991	43899.092474847158883
1	0	0	0.09	-55073.193461399991065	15206.409352140030023	48925.829744385082449
1	0	0	0.1	-45571.388691118918359	16591.322266004484845	54689.218721275159623
1	0	0	0.11	-38206.943346839630976	18046.093574281458132	60754.98939686336962
1	0	0	0.12	-32593.818230101373047	19555.138497509313311	67542.3519581547298
1	0	0	0.13	-28439.352765838382766	21106.81926841560562	74329.714519446119084
1	0	0	0.14	-25516.636754713254049	22692.391394696420321	81117.077080737508368
1	0	0	0.15	-23646.399257295066491	24305.222985983204126	87904.439642028970411
1	0	0.5	0	-34788.225765335839242	33345.936418414006766	119704.00740104593569
1	0	0.5	0.01	-442269.0906850353349	31493.917698382250819	113378.16002564366499
1	0	0.5	0.02	-301611.01745586772449	29696.560355143043125	107082.1738837393641
1	0	0.5	0.03	-224559.26322390977293	27964.406133931141085	100786.1877418350341
1	0	0.5	0.04	-173780.50475367740728	26310.336228996635327	94490.201599930762313
1	0	0.5	0.05	-137455.60398816177621	24750.010971813186188	88355.446405419468647
1	0	0.5	0.06	-110281.84606227371842	23302.269466502799332	85055.753615914829425
1	0	0.5	0.07	-89415.407996675698087	21989.359927855013666	83324.317256887006806
1	0	0.5	0.08	-73152.112025328911841	20836.78493306056771	82448.169952784533962
1	0	0.5	0.09	-60389.74949545529671	19872.461629579160217	82349.324673761933809
1	0	0.5	0.1	-50374.519004706759006	19124.887572328014357	82924.076192827342311
1	0	0.5	0.11	-42568.433132567442954	18620.187610544937343	83812.052455703029409
1	0	0.5	0.12	-36574.395549149485305	18378.381789815164666	85339.267251778801437
1	0	0.5	0.13	-32091.225785651011392	18409.83205613625978	87038.211796904332004
1	0	0.5	0.14	-28885.316400847164914	18713.160717011134693	88959.347645818401361
1	0	0.5	0.15	-26772.043305219616741	19275.53683477710365	90929.082195045906701
1	0	1	0	-56428.450538689037785	48957.225857183846529	165403.15383964384091
1	0	1	0.01	-459623.29657771973871	47011.855839707000996	158618.86486386641627
1	0	1	0.02	-317362.49316098424606	45117.800662175497564	151834.57588808890432
1	0	1	0.03	-239335.71906276443042	43281.797616625692172	145312.38760315309628
1	0	1	0.04	-187868.50676621985622	41511.550133638891566	138809.2593796197034
